CLASSEMENT DE LA COURSE : Kaido DU 2018-03-17


Classement : CATEGORIE 1
RANG;VOILIER;NOM;PRENOM;TEMPS REEL;TEMPS COMPENSE;
1;vilier 5;Gross;Bernard;00:32:42;01:19:19;
2;voilier 12;Conrad;Laura;00:36:03;01:20:35;
3;voilier 3;Walter;Quentin;00:35:19;01:22:19;
4;voilier 1;Dupont;Jean;00:32:21;01:22:44;
5;voilier 6;Erny;Pierre;00:37:33;01:26:09;


Classement : CATEGORIE 2
RANG;VOILIER;NOM;PRENOM;TEMPS REEL;TEMPS COMPENSE;
1;voilier 4;Walter;Pierre;00:37:42;01:30:05;
2;voilier 2;Durand;Camille;00:42:55;01:36:58;
3;voilier 10;Kolb;François;00:00:00;00:00:00;


Classement : CATEGORIE 3
RANG;VOILIER;NOM;PRENOM;TEMPS REEL;TEMPS COMPENSE;
1;voilier 7;Dupont;Marc;00:37:54;01:38:05;
2;voilier 9;Laie;Marie;00:33:45;01:40:29;
3;voilier 8;Durand;Sophie;00:38:23;01:47:26;


Classement : CATEGORIE 4
RANG;VOILIER;NOM;PRENOM;TEMPS REEL;TEMPS COMPENSE;
1;voilier 11;Drieux;Hugo;00:44:23;02:10:05;
2;voilier 13;Schneder;Charle;00:47:08;02:23:56;

